1045498 472413.55
1023601 541079.0
982007 642259.7
1043996 702240.25
1032715 770688.26
1047175 756077.24
1047225 831711.72
1048039 807360.54
1038527 833168.46
1048019 870433.71
1038281 854099.24
1048019 921471.58
1038281 866839.48
1048059 945095.56
1046583 895694.54
1048039 918474.24
1047351 916882.68
1048567 945576.6
1021975 931209.64
1048567 971362.84
1022195 932317.84
1048563 964593.14
982719 921307.2
1048567 969526.48
983031 924996.96
1048439 980097.16
983019 935625.03
1048563 961376.22
983007 929121.43
1048561 965572.38
982975 942794.32
1047799 972629.08
982995 946349.96
1048567 967440.36
983007 947805.47
1048567 967859.36
983039 951308.56
1048567 978806.36
983039 953330.36
1048567 995866.99
983039 945852.48
1048567 1000789.8
983039 944835.92
1048567 1004386.12
983039 948233.64
1048567 1015038.36
983039 957429.84
1048567 1017361.28
983039 958098.16
1048563 1014998.36
983039 962082.59
1048567 1018012.12
983039 957844.07
1048055 999287.68
983039 958748.25
1048055 1022581.12
983031 957398.84
1048055 1026912.82
983039 953917.8
1048055 1026315.88
983007 964025.72
1048055 1028049.48
983007 965677.24
1048055 1029888.16
983007 965301.4
1048055 1030524.04
982015 965789.0
1048055 1030038.72
982015 973108.6
1048055 1026588.56
982015 975416.58
1048055 1027819.92
982015 975167.96
1048055 1031423.2
982015 972618.98
1048055 1026918.76
982015 976591.3
1048055 1031831.56
982015 980482.52
1048055 1033563.44
982015 981595.68
1048055 1027481.4
982015 981599.88
1048055 1026262.36
982015 979261.96
1048055 1025445.02
982015 974096.54
1048055 1030667.46
982015 976719.32
1048055 1030584.26
982015 981847.64
1048055 1035437.4
982015 981880.92
1048055 1032733.4
982015 981915.8
1048055 1031340.76
982015 981822.6
1048055 1024414.68
982015 981897.24
1048055 1023601.72
982943 980634.52
